,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
FNDA-1,,,,,,,,dFe combines data from 56Fe/54Fe and 57Fe/54Fe,,,,,,,,,,,,,,,,,,
,,,,,,,,Mtarix-corrected and,,,,,Matrix-corrected ratios,,,,,Uncorrected data,,,,,,,,
"Data collected February, 2013",,,,,,,,Internally standardized ratios,,,,,No correction for instrumental fractionation,,,,,No matrix correction or correction for instrumental fractionation,,,,,,,,
Fe Profile #1,,,Distance,,,,,,,,,,,,,,,,,,,,Original uncombined ratios,,,
Spot Number,Position X,Position Y,From Edge,Fe,Ni,,,dFe/54Fe ‰ / amu,2smean,,,,dFe/54Fe ‰ / amu,2smean,,,,dFe/54Fe ‰ / amu,2smean,,,,d56Fe,2smean,d57Fe,2smean
,,,0,,,,,,,,,,,,,,,,,,,,,,,
1,-800,605,475,98.40,0.87,,,0.10, 0.70,,,,-18.38, 0.70,,,,-18.41, 0.70,,,,-17.88, 1.01,-18.91, 0.98
2,-650,605,625,98.53,0.79,,,0.04, 0.90,,,,-18.44, 0.90,,,,-18.47, 0.90,,,,-18.68, 1.66,-18.38, 1.07
3,-500,605,775,98.54,0.92,,,0.59, 0.93,,,,-17.89, 0.93,,,,-17.92, 0.93,,,,-18.41, 1.41,-17.53, 1.24
4,-425,605,850,98.81,0.75,,,-0.11, 0.67,,,,-18.59, 0.67,,,,-18.62, 0.67,,,,-18.68, 0.85,-18.52, 1.11
5,-350,605,925,98.81,0.82,,,-0.26, 0.98,,,,-18.74, 0.98,,,,-18.77, 0.98,,,,-18.32, 1.97,-18.92, 1.13
6,-275,605,1000,98.30,1.02,,,-0.36, 0.62,,,,-18.85, 0.62,,,,-18.88, 0.62,,,,-18.38, 1.12,-19.10, 0.74
7,-200,605,1075,98.52,1.00,,,0.40, 0.73,,,,-18.08, 0.73,,,,-18.11, 0.73,,,,-19.07, 1.61,-17.87, 0.82
