Term,AY,Semester,Crn1,Crn2,School,Course1,Course2,Level,Schedule,Enroll
201530,2014-15,Fall,32738,,SD,BIOL225,,Undergraduate,Lab,13
201530,2014-15,Fall,32739,,AD,ENGL490,,Undergraduate,Seminar,6
201530,2014-15,Fall,32740,,AD,ENGL490,,Undergraduate,Seminar,12
201530,2014-15,Fall,32742,,AD,WRIT390,,Undergraduate,Lecture,14
201530,2014-15,Fall,32743,,AD,WRIT390,,Undergraduate,Lecture,7
201530,2014-15,Fall,32746,,SD,CHEM429,,Undergraduate,Lab,10
201530,2014-15,Fall,32747,,SD,CHEM429,,Undergraduate,Lab,10
201530,2014-15,Fall,32748,,SD,CHEM348,,Undergraduate,Lecture,10
201530,2014-15,Fall,32749,,AD,RELG101,,Undergraduate,Lecture,26
201530,2014-15,Fall,32750,,AD,RELG141,,Undergraduate,Lecture,13
201530,2014-15,Fall,32751,,AD,RELG181,,Undergraduate,Lecture,25
201530,2014-15,Fall,32752,,AD,RELG181,,Undergraduate,Lecture,26
201530,2014-15,Fall,32753,,AD,RELG207,,Undergraduate,Lecture,18
201530,2014-15,Fall,32755,,AD,RELG210,,Undergraduate,Lecture,12
201530,2014-15,Fall,32756,,AD,RELG330,,Undergraduate,Lecture,23
201530,2014-15,Fall,32758,,AD,RELG360,,Undergraduate,Lecture,16
201530,2014-15,Fall,32759,,AD,RELG360,,Undergraduate,Lecture,21
201530,2014-15,Fall,32760,,AD,RELG490,,Undergraduate,Seminar,9
201530,2014-15,Fall,32761,,AD,POSC150,,Undergraduate,Lecture,20
201530,2014-15,Fall,32762,,AD,POSC182,,Undergraduate,Lab,8
201530,2014-15,Fall,32763,,AD,POSC310,,Undergraduate,Lecture,15
201530,2014-15,Fall,32764,,AD,POSC313,,Undergraduate,Lecture,22
201530,2014-15,Fall,32765,,AD,POSC359,,Undergraduate,Lecture,11
201530,2014-15,Fall,32767,,AD,POSC495,,Undergraduate,Seminar,14
201530,2014-15,Fall,32768,,AD,POSC497,,Undergraduate,Seminar,9
201530,2014-15,Fall,32769,,BD,QBUS200,,Undergraduate,Lecture,30
201530,2014-15,Fall,32770,,BD,QBUS200,,Undergraduate,Lab,30
201530,2014-15,Fall,32773,,AD,COMD280,,Undergraduate,Internship,4
201530,2014-15,Fall,32775,,SD,ENVA305,,Undergraduate,Lecture,14
201530,2014-15,Fall,32776,,AD,POSC370,,Undergraduate,Lecture,31
201530,2014-15,Fall,32777,,SD,ENVA305,,Undergraduate,Lecture,25
201530,2014-15,Fall,32780,,SD,ENVA400,,Undergraduate,Lecture,10
201530,2014-15,Fall,32781,,BD,ECON325,,Undergraduate,Lecture,12
201530,2014-15,Fall,32785,,AD,EDUC210,,Undergraduate,Lecture,17
201530,2014-15,Fall,32786,,BD,ECON230,,Undergraduate,Lecture,18
201530,2014-15,Fall,32787,,BD,MRKT212,,Undergraduate,Lecture,24
