NAME,MUNI_TYPE,POP_1990,POP_2000,POP_2010,Pop_Density_1990,Pop_Density_2000,Pop_Density_2010,Pop_Dens_change_90-00,Pop_Dens_change_00-10,Pop_Dens_change_90-10,Area_square_miles,Longitude,Latitude
Marshall,town,2125,2127,2131,64.711,64.771,64.893,0.061,0.122,0.183,32.839,-75.386221,42.967178
Martinsburg,town,1358,1249,1433,17.865,16.431,18.852,-1.434,2.421,0.987,76.014,-75.528547,43.729181
Maryland,town,1716,1920,1897,33.125,37.063,36.619,3.938,-0.444,3.494,51.804,-74.856468,42.543506
Masonville,town,1352,1405,1320,24.774,25.745,24.187,0.971,-1.558,-0.586,54.574,-75.345298,42.230903
Massena,town,13826,13121,12883,246.197,233.643,229.405,-12.554,-4.238,-16.792,56.158,-74.833979,44.960915
Mayfield,town,5738,6432,6495,88.810,99.552,100.527,10.741,0.975,11.717,64.610,-74.260057,43.1248
McDonough,town,809,870,886,20.426,21.967,22.371,1.540,0.404,1.944,39.605,-75.725816,42.50098
Mechanicville,city,5249,5019,5196,5525.455,5283.341,5469.664,-242.114,186.322,-55.791,0.950,-73.689161,42.903053
Mendon,town,6845,8370,9152,170.828,208.887,228.403,38.059,19.516,57.575,40.070,-77.547895,42.985811
Mentz,town,2453,2446,2378,142.811,142.404,138.445,-0.408,-3.959,-4.366,17.177,-76.63195,43.041423
Meredith,town,1513,1588,1529,25.955,27.241,26.229,1.287,-1.012,0.274,58.294,-74.943389,42.364785
Mexico,town,5050,5181,5197,109.021,111.850,112.195,2.828,0.345,3.173,46.321,-76.204971,43.454887
Middleburgh,town,3296,3515,3746,65.627,69.988,74.587,4.361,4.599,8.960,50.223,-74.321924,42.60764
Middlebury,town,1532,1508,1441,42.900,42.228,40.352,-0.672,-1.876,-2.548,35.711,-78.132294,42.826489
Middlefield,town,2231,2249,2114,33.967,34.241,32.185,0.274,-2.055,-1.781,65.682,-74.87002,42.703045
Middlesex,town,1249,1345,1495,36.593,39.406,43.800,2.813,4.395,7.207,34.132,-77.290905,42.713369
Middletown,city,24160,25388,28086,4690.652,4929.067,5452.883,238.416,523.815,762.231,5.151,-74.422687,41.445916
Middletown,town,3406,4051,3750,35.016,41.647,38.553,6.631,-3.095,3.537,97.269,-74.625493,42.160751
Milan,town,1895,4559,2370,51.863,124.772,64.863,72.909,-59.909,13.000,36.539,-73.775509,41.974599
Milford,town,2845,2938,3044,60.395,62.369,64.620,1.974,2.250,4.224,47.106,-74.977959,42.546299
Milo,town,7023,7026,7006,158.481,158.548,158.097,0.068,-0.451,-0.384,44.315,-77.002956,42.615046
Milton,town,14658,17103,18575,410.396,478.852,520.065,68.455,41.213,109.669,35.717,-73.899681,43.040642
Mina,town,1129,1176,1106,30.985,32.274,30.353,1.290,-1.921,-0.631,36.437,-79.703051,42.129855
Minden,town,4474,4202,4297,87.112,81.816,83.666,-5.296,1.850,-3.446,51.359,-74.697481,42.927062
Minerva,town,758,796,809,4.775,5.014,5.096,0.239,0.082,0.321,158.746,-74.058857,43.853807
Minetto,town,1822,1663,1659,301.964,275.612,274.949,-26.351,-0.663,-27.014,6.034,-76.48216,43.398623
Minisink,town,2981,3585,4490,129.065,155.216,194.399,26.151,39.183,65.334,23.097,-74.537732,41.332288
Mohawk,town,3976,3902,3844,112.341,110.250,108.611,-2.091,-1.639,-3.730,35.392,-74.396143,42.957202
Moira,town,2684,2857,2934,59.507,63.342,65.049,3.836,1.707,5.543,45.104,-74.558915,44.829531
Monroe,town,23035,31407,39912,1084.107,1478.122,1878.397,394.015,400.275,794.290,21.248,-74.192181,41.306815
Montague,town,47,108,78,0.719,1.651,1.193,0.933,-0.459,0.474,65.402,-75.709824,43.717937
Montezuma,town,1280,1431,1277,68.349,76.412,68.189,8.063,-8.223,-0.160,18.727,-76.694931,43.012236
Montgomery,town,18501,20891,22606,362.301,409.104,442.688,46.803,33.584,80.387,51.065,-74.207351,41.539811
Montour,town,2528,2446,2308,136.089,131.675,124.246,-4.414,-7.429,-11.843,18.576,-76.824063,42.337267
Mooers,town,2995,3404,3592,34.192,38.861,41.008,4.669,2.146,6.816,87.593,-73.660559,44.958985
Moravia,town,3871,4040,3626,130.352,136.043,122.102,5.691,-13.941,-8.250,29.697,-76.418778,42.737874
Moreau,town,13022,13826,14728,298.539,316.972,337.651,18.432,20.679,39.111,43.619,-73.666161,43.246769
Morehouse,town,106,151,86,0.545,0.777,0.442,0.231,-0.334,-0.103,194.452,-74.727196,43.471046
Moriah,town,4884,4879,4798,67.551,67.482,66.362,-0.069,-1.120,-1.189,72.301,-73.53013,44.055238
Morris,town,1787,1867,1878,45.880,47.934,48.216,2.054,0.282,2.336,38.950,-75.264247,42.53802
Morristown,town,2019,2050,1974,33.860,34.380,33.106,0.520,-1.275,-0.755,59.628,-75.63684,44.53675
Mount Hope,town,5971,6639,7018,233.713,259.859,274.694,26.146,14.835,40.981,25.548,-74.527928,41.460196
Mount Kisco,town,9108,9983,10877,2952.139,3235.749,3525.517,283.610,289.769,573.379,3.085,-73.728063,41.201866
Mount Morris,town,4633,4567,4465,91.171,89.872,87.865,-1.299,-2.007,-3.306,50.817,-77.899451,42.66635
Mount Pleasant,town,40590,43221,43724,1238.301,1318.567,1333.912,80.265,15.345,95.611,32.779,-73.811995,41.111957
Mount Vernon,city,67153,68381,67292,15272.056,15551.330,15303.667,279.274,-247.662,31.612,4.397,-73.829102,40.913615
Murray,town,4921,6259,4988,158.116,201.107,160.268,42.991,-40.838,2.153,31.123,-78.058384,43.254827
Nanticoke,town,1846,1790,1672,76.660,74.334,69.434,-2.326,-4.900,-7.226,24.080,-76.028025,42.281801
Naples,town,2559,2441,2502,64.489,61.516,63.053,-2.974,1.537,-1.436,39.681,-77.428484,42.62233
Napoli,town,1102,1159,1248,30.042,31.596,34.022,1.554,2.426,3.980,36.682,-78.884547,42.216442
Nassau,town,4989,4818,4789,109.973,106.204,105.565,-3.769,-0.639,-4.409,45.366,-73.546694,42.543276
Nelson,town,1892,1964,1980,42.944,44.578,44.942,1.634,0.363,1.997,44.057,-75.754236,42.87908
Neversink,town,2951,3553,3557,34.250,41.237,41.283,6.987,0.046,7.033,86.161,-74.591037,41.872025
